record_id,source_type,batch_id,ingested_at,entity_id,entity_type,full_name,dob,nationality,is_pep,pep_level,address,city,country,director_of_entity_ids,company_number,date_incorporated,employee_count,is_offshore,owned_by_entity_id,ownership_percentage
BATCH_20260316_084416_json_REC_000000,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_PERSON_001,person,Dmitri Petrov,1965-07-12,Russian,True,state_enterprise,"88 Nevsky Prospect, St Petersburg, Russia",St Petersburg,Russia,LEAK_COMPANY_001,,,,,,
BATCH_20260316_084416_json_REC_000001,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_PERSON_001,person,Dmitri Petrov,1965-07-12,Russian,True,state_enterprise,"88 Nevsky Prospect, St Petersburg, Russia",St Petersburg,Russia,LEAK_COMPANY_002,,,,,,
BATCH_20260316_084416_json_REC_000002,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_PERSON_002,person,Ahmed Al-Mansouri,1972-11-23,Emirati,True,minister,"Dubai Marina Tower 5, Dubai, United Arab Emirates",Dubai,United Arab Emirates,LEAK_COMPANY_003,,,,,,
BATCH_20260316_084416_json_REC_000003,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_PERSON_003,person,Sarah Chen,1985-03-15,Chinese,False,,"123 Wan Chai Road, Hong Kong, Hong Kong",Hong Kong,Hong Kong,LEAK_COMPANY_004,,,,,,
BATCH_20260316_084416_json_REC_000004,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_PERSON_003,person,Sarah Chen,1985-03-15,Chinese,False,,"123 Wan Chai Road, Hong Kong, Hong Kong",Hong Kong,Hong Kong,LEAK_COMPANY_005,,,,,,
BATCH_20260316_084416_json_REC_000005,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_001,company,Offshore Investments BVI Ltd,,,,,"PO Box 3483, Road Town, British Virgin Islands",Road Town,British Virgin Islands,,BVI123456,2018-06-15,0,True,LEAK_PERSON_001,100.0
BATCH_20260316_084416_json_REC_000006,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_002,company,Baltic Trading Corp,,,,,"15 Makarios Avenue, Limassol, Cyprus",Limassol,Cyprus,,CY789012,2019-03-22,2,True,LEAK_COMPANY_001,80.0
BATCH_20260316_084416_json_REC_000007,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_003,company,Desert Holdings LLC,,,,,"DIFC Building 3, Dubai, United Arab Emirates",Dubai,United Arab Emirates,,UAE345678,2020-01-10,1,True,LEAK_PERSON_002,100.0
BATCH_20260316_084416_json_REC_000008,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_004,company,Pacific Ventures Ltd,,,,,"Suite 1203, Central Plaza, Hong Kong, Hong Kong",Hong Kong,Hong Kong,,HK987654,2017-08-30,25,False,LEAK_PERSON_003,60.0
BATCH_20260316_084416_json_REC_000009,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_005,company,Singapore Tech Holdings Pte,,,,,"Marina Bay Financial Centre, Singapore, Singapore",Singapore,Singapore,,SG456789,2021-05-12,15,False,LEAK_COMPANY_004,45.0
BATCH_20260316_084416_json_REC_000010,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_006,company,Crown Investments Cayman,,,,,"PO Box 897, George Town, Cayman Islands",George Town,Cayman Islands,,KY112233,2016-12-05,0,True,LEAK_COMPANY_002,55.0
BATCH_20260316_084416_json_REC_000011,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_007,company,Circular Holdings Alpha,,,,,"Torre Global Bank, Piso 15, Panama City, Panama",Panama City,Panama,,PA998877,2019-09-15,1,True,LEAK_COMPANY_008,70.0
BATCH_20260316_084416_json_REC_000012,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_008,company,Circular Holdings Beta,,,,,"Torre Global Bank, Piso 16, Panama City, Panama",Panama City,Panama,,PA887766,2019-09-20,1,True,LEAK_COMPANY_009,70.0
BATCH_20260316_084416_json_REC_000013,json_offshore_leak,BATCH_20260316_084416,2026-03-16T08:44:16.991171,LEAK_COMPANY_009,company,Circular Holdings Gamma,,,,,"Torre Global Bank, Piso 17, Panama City, Panama",Panama City,Panama,,PA776655,2019-09-25,1,True,LEAK_COMPANY_007,70.0
