record_id,source_type,batch_id,ingested_at,entity_type,full_name,dob,nationality,is_pep,address,city,country,entity_id,pep_level,company_number,date_incorporated,employee_count,is_offshore,owned_by_entity_id,ownership_percentage,director_of_entity_ids
BATCH_20260226_173631_json_REC_000000,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,person,Alice M. Johnson,1985-03-15,British,False,"10 Oak Street, London, United Kingdom",London,United Kingdom,,,,,,,,,
BATCH_20260226_173631_json_REC_000001,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,person,Frank Miller,1988-12-03,American,True,"US Embassy, London, United Kingdom",London,United Kingdom,ENT_FRANK_19881203,diplomat,,,,,,,
BATCH_20260226_173631_json_REC_000002,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,company,Property Investments Ltd,,,,"400 Real Estate Road, Leeds, United Kingdom",Leeds,United Kingdom,ENT_CO_22334455,,22334455,2017-11-10,5,False,ENT_DIANA_19831105,45.0,
BATCH_20260226_173631_json_REC_000003,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,company,BVI Holdings Inc,,,,"Road Town, British Virgin Islands",Road Town,British Virgin Islands,ENT_CO_OFFSHORE_001,,BVI12345,,0,True,ENT_CO_22334455,100.0,
BATCH_20260226_173631_json_REC_000004,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,person,Grace Lee,1990-05-15,British,False,"88 Tech Hub, Cambridge, United Kingdom",Cambridge,United Kingdom,ENT_GRACE_19900515,,,,,,,,ENT_CO_12345678
BATCH_20260226_173631_json_REC_000005,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,person,Grace Lee,1990-05-15,British,False,"88 Tech Hub, Cambridge, United Kingdom",Cambridge,United Kingdom,ENT_GRACE_19900515,,,,,,,,ENT_CO_55667788
BATCH_20260226_173631_json_REC_000006,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,company,Blockchain Ventures Ltd,,,,"Crypto Tower, London, United Kingdom",London,United Kingdom,ENT_CO_BLOCKCHAIN_001,,33445566,2021-03-10,12,False,ENT_ALICE_19850315,51.0,
BATCH_20260226_173631_json_REC_000007,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,person,Henry Thompson,1970-12-25,British,True,"House of Commons, London, United Kingdom",London,United Kingdom,ENT_HENRY_19701225,parliament_member,,,,,,,
BATCH_20260226_173631_json_REC_000008,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,company,Circular Company A Ltd,,,,"London, United Kingdom",London,United Kingdom,ENT_CO_CIRCULAR_A,,77777777,2020-01-01,3,False,ENT_CO_CIRCULAR_B,50.0,
BATCH_20260226_173631_json_REC_000009,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,company,Circular Company B Ltd,,,,"London, United Kingdom",London,United Kingdom,ENT_CO_CIRCULAR_B,,88888888,2020-01-01,3,False,ENT_CO_CIRCULAR_A,50.0,
BATCH_20260226_173631_json_REC_000010,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,person,Ivan Petrov,1995-03-10,Russian,False,"Moscow, Russia",Moscow,Russia,ENT_IVAN_19950310,,,,,,,,ENT_CO_CIRCULAR_A
BATCH_20260226_173631_json_REC_000011,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,person,Ivan Petrov,1995-03-10,Russian,False,"Moscow, Russia",Moscow,Russia,ENT_IVAN_19950310,,,,,,,,ENT_CO_CIRCULAR_B
BATCH_20260226_173631_json_REC_000012,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,person,Ivan Petrov,1995-03-10,Russian,False,"Moscow, Russia",Moscow,Russia,ENT_IVAN_19950310,,,,,,,,ENT_CO_OFFSHORE_001
