record_id,source_type,batch_id,ingested_at,entity_type,full_name,dob,nationality,is_pep,address,city,country,director_of_entity_ids,entity_id,pep_level,company_number,date_incorporated,employee_count,is_offshore,owned_by_entity_id,ownership_percentage
BATCH_20260226_173631_xml_REC_000000,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,A. M. Johnson,1985-03-15,British,False,"10 Oak Street, London, United Kingdom",London,United Kingdom,ENT_CO_12345678,,,,,,,,
BATCH_20260226_173631_xml_REC_000001,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,A. M. Johnson,1985-03-15,British,False,"10 Oak Street, London, United Kingdom",London,United Kingdom,ENT_CO_87654321,,,,,,,,
BATCH_20260226_173631_xml_REC_000002,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,Robert Wilson,1965-08-20,British,True,"15 Diplomatic Drive, London, United Kingdom",London,United Kingdom,,,diplomat,,,,,,
BATCH_20260226_173631_xml_REC_000003,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,Edward Thompson,1975-04-20,British,True,"Royal Courts of Justice, London, United Kingdom",London,United Kingdom,ENT_CO_55667788,,judge,,,,,,
BATCH_20260226_173631_xml_REC_000004,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,Sarah Nominee,1980-12-01,British,False,"Corporate Services Ltd, London, United Kingdom",London,United Kingdom,ENT_CO_12345678,,,,,,,,
BATCH_20260226_173631_xml_REC_000005,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,Sarah Nominee,1980-12-01,British,False,"Corporate Services Ltd, London, United Kingdom",London,United Kingdom,ENT_CO_87654321,,,,,,,,
BATCH_20260226_173631_xml_REC_000006,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,Sarah Nominee,1980-12-01,British,False,"Corporate Services Ltd, London, United Kingdom",London,United Kingdom,ENT_CO_55667788,,,,,,,,
BATCH_20260226_173631_xml_REC_000007,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,Sarah Nominee,1980-12-01,British,False,"Corporate Services Ltd, London, United Kingdom",London,United Kingdom,ENT_CO_99887766,,,,,,,,
BATCH_20260226_173631_xml_REC_000008,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,Sarah Nominee,1980-12-01,British,False,"Corporate Services Ltd, London, United Kingdom",London,United Kingdom,ENT_CO_22334455,,,,,,,,
BATCH_20260226_173631_xml_REC_000009,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,person,Sarah Nominee,1980-12-01,British,False,"Corporate Services Ltd, London, United Kingdom",London,United Kingdom,ENT_CO_11111111,,,,,,,,
BATCH_20260226_173631_xml_REC_000010,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,person,Sarah Nominee,1980-12-01,British,False,"Corporate Services Ltd, London, United Kingdom",London,United Kingdom,ENT_CO_CAYMAN001,,,,,,,,
BATCH_20260226_173631_xml_REC_000011,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,person,C. Brown,1992-07-11,American,False,"22 Elm Avenue, Manchester, United Kingdom",Manchester,United Kingdom,,,,,,,,,
BATCH_20260226_173631_xml_REC_000012,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,company,TechStart Limited,,,,"100 Silicon Road, London, United Kingdom",London,United Kingdom,,,,12345678,2020-05-10,15,False,ENT_BOB_19650820,25.0
BATCH_20260226_173631_xml_REC_000013,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,company,DataCorp Holdings Ltd,,,,"200 Data Lane, Birmingham, United Kingdom",Birmingham,United Kingdom,,,,87654321,2018-03-15,50,False,ENT_ALICE_19850315,75.5
BATCH_20260226_173631_xml_REC_000014,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,company,Offshore Ventures Inc,,,,"George Town, Cayman Islands",George Town,Cayman Islands,,,,CAYMAN001,2015-01-01,0,True,ENT_ALICE_19850315,100.0
BATCH_20260226_173631_xml_REC_000015,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,company,FinTech Innovations Ltd,,,,"500 Finance Avenue, Edinburgh, United Kingdom",Edinburgh,United Kingdom,,,,55667788,2022-08-15,30,False,ENT_CHARLIE_19920711,60.0
BATCH_20260226_173631_xml_REC_000016,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,company,Global Holdings Limited,,,,"George Town, Cayman Islands",George Town,Cayman Islands,,,,11111111,2015-01-01,0,True,ENT_ALICE_19850315,100.0
BATCH_20260226_173631_xml_REC_000017,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,company,GreenEnergy Solutions Plc,,,,"300 Eco Street, Oxford, United Kingdom",Oxford,United Kingdom,,,,99887766,2019-06-30,25,False,ENT_CO_87654321,80.0
BATCH_20260226_173631_xml_REC_000018,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,company,Property Investments Limited,,,,"400 Real Estate Road, Leeds, United Kingdom",Leeds,United Kingdom,,,,22334455,2017-11-10,5,False,ENT_DIANA_19831105,45.0
