record_id,entity_id,entity_type,full_name,dob,address,nationality,city,country,is_pep,pep_level,director_of_entity_ids,company_number,date_incorporated,employee_count,is_offshore,owned_by_entity_id,ownership_percentage,source,source_type,ingested_at
REC_SYNTH_P_000,ENT_PERSON_000,person,Pierre White,1961-02-05,"156 Queen Street, Oxford, United Kingdom",British,Oxford,United Kingdom,False,,ENT_COMPANY_037,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_001,ENT_PERSON_001,person,William Rodriguez,1984-10-20,"807 Queen Street, Newcastle, United Kingdom",British,Newcastle,United Kingdom,True,military,ENT_COMPANY_039,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_002,ENT_PERSON_002,person,Mary Baker,1960-05-18,"769 Queen Street, Beijing, India",Chinese,Beijing,India,False,,ENT_COMPANY_028;ENT_COMPANY_058;ENT_COMPANY_027;ENT_COMPANY_002;ENT_COMPANY_041;ENT_COMPANY_053;ENT_COMPANY_054;ENT_COMPANY_059;ENT_COMPANY_011;ENT_COMPANY_031;ENT_COMPANY_030;ENT_COMPANY_046;ENT_COMPANY_049;ENT_COMPANY_004;ENT_COMPANY_010,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_003,ENT_PERSON_003,person,Joseph Lewis,1961-09-17,"792 Main Street, Cardiff, United Kingdom",British,Cardiff,United Kingdom,True,central_bank,ENT_COMPANY_020;ENT_COMPANY_005,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_004,ENT_PERSON_004,person,Giovanni Walker,1977-10-26,"279 Main Street, Cambridge, United Kingdom",British,Cambridge,United Kingdom,False,,ENT_COMPANY_007;ENT_COMPANY_046;ENT_COMPANY_004,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_005,ENT_PERSON_005,person,Maria Clark,1972-03-08,"61 Queen Street, Berlin, USA",French,Berlin,USA,False,,ENT_COMPANY_036;ENT_COMPANY_051,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_006,ENT_PERSON_006,person,Thomas Smith,1978-06-09,"984 High Street, Berlin, France",American,Berlin,France,False,,,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_007,ENT_PERSON_007,person,Karen Thomas,1964-09-10,"806 High Street, Cambridge, United Kingdom",British,Cambridge,United Kingdom,False,,ENT_COMPANY_054;ENT_COMPANY_040,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_008,ENT_PERSON_008,person,Li Jackson,1990-01-24,"163 King Street, Cambridge, United Kingdom",British,Cambridge,United Kingdom,False,,ENT_COMPANY_030;ENT_COMPANY_032,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_009,ENT_PERSON_009,person,Mohammed Sanchez,1986-12-17,"625 Main Street, New York, Germany",Chinese,New York,Germany,False,,,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_010,ENT_PERSON_010,person,Robert Harris,1970-05-31,"70 Park Street, Liverpool, United Kingdom",British,Liverpool,United Kingdom,False,,ENT_COMPANY_015;ENT_COMPANY_041;ENT_COMPANY_021,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_011,ENT_PERSON_011,person,Maria Nguyen,1993-09-26,"170 King Street, Cambridge, United Kingdom",British,Cambridge,United Kingdom,False,,,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_012,ENT_PERSON_012,person,Emma Lee,1956-12-23,"334 High Street, Berlin, Germany",French,Berlin,Germany,False,,ENT_COMPANY_026,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_013,ENT_PERSON_013,person,Greta Nguyen,1995-10-04,"353 Queen Street, Manchester, United Kingdom",British,Manchester,United Kingdom,False,,ENT_COMPANY_045;ENT_COMPANY_043;ENT_COMPANY_002;ENT_COMPANY_005;ENT_COMPANY_057;ENT_COMPANY_025;ENT_COMPANY_031;ENT_COMPANY_032;ENT_COMPANY_010;ENT_COMPANY_003;ENT_COMPANY_012;ENT_COMPANY_024;ENT_COMPANY_051;ENT_COMPANY_009;ENT_COMPANY_008;ENT_COMPANY_007,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_014,ENT_PERSON_014,person,William Jones,1953-10-06,"309 Queen Street, London, United Kingdom",British,London,United Kingdom,True,state_enterprise,ENT_COMPANY_010,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_P_015,ENT_PERSON_015,person,Dmitri Clark,1989-07-25,"736 High Street, Bristol, United Kingdom",British,Bristol,United Kingdom,False,,ENT_COMPANY_055;ENT_COMPANY_022,,,,,,,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_000,ENT_COMPANY_000,company,Quantum Energy Technologies Inc,,"543 Business Park, Liverpool, United Kingdom",,Liverpool,United Kingdom,,,,75067126,2022-06-18,25,False,ENT_PERSON_020,75,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_001,ENT_COMPANY_001,company,Dynamic Retail Enterprises,,"230 Business Park, Oxford, United Kingdom",,Oxford,United Kingdom,,,,83589016,2003-06-20,100,False,ENT_PERSON_014,60,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
