record_id,source_type,batch_id,ingested_at,entity_id,entity_type,full_name,dob,nationality,is_pep,address,city,country,director_of_entity_ids,pep_level,company_number,date_incorporated,employee_count,is_offshore,owned_by_entity_id,ownership_percentage
REC_SYNTH_P_,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_,person,Pierre White,1961-02-05,British,False,"156 Queen Street, Oxford, United Kingdom",Oxford,United Kingdom,ENT_COMPANY_037,,,,,,,
REC_SYNTH_P_001,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_001,person,William Rodriguez,1984-10-20,British,True,"807 Queen Street, Newcastle, United Kingdom",Newcastle,United Kingdom,ENT_COMPANY_039,military,,,,,,
REC_SYNTH_P_002,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_002,person,Mary Baker,1960-05-18,Chinese,False,"769 Queen Street, Beijing, India",Beijing,India,ENT_COMPANY_028,,,,,,,
REC_SYNTH_P_002_01,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_002,person,Mary Baker,1960-05-18,Chinese,False,"769 Queen Street, Beijing, India",Beijing,India,ENT_COMPANY_058,,,,,,,
REC_SYNTH_P_002_02,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_002,person,Mary Baker,1960-05-18,Chinese,False,"769 Queen Street, Beijing, India",Beijing,India,ENT_COMPANY_027,,,,,,,
REC_SYNTH_P_002_03,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_002,person,Mary Baker,1960-05-18,Chinese,False,"769 Queen Street, Beijing, India",Beijing,India,ENT_COMPANY_002,,,,,,,
REC_SYNTH_P_002_04,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_002,person,Mary Baker,1960-05-18,Chinese,False,"769 Queen Street, Beijing, India",Beijing,India,ENT_COMPANY_041,,,,,,,
REC_SYNTH_P_002_05,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_002,person,Mary Baker,1960-05-18,Chinese,False,"769 Queen Street, Beijing, India",Beijing,India,ENT_COMPANY_053,,,,,,,
REC_SYNTH_P_002_06,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_002,person,Mary Baker,1960-05-18,Chinese,False,"769 Queen Street, Beijing, India",Beijing,India,ENT_COMPANY_054,,,,,,,
REC_SYNTH_P_002_07,csv_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.221213,ENT_PERSON_002,person,Mary Baker,1960-05-18,Chinese,False,"769 Queen Street, Beijing, India",Beijing,India,ENT_COMPANY_059,,,,,,,
