record_id,source_type,batch_id,ingested_at,entity_id,entity_type,full_name,dob,nationality,is_pep,address,city,country,director_of_entity_ids,pep_level,company_number,date_incorporated,employee_count,is_offshore,owned_by_entity_id,ownership_percentage
REC_SYNTH_P_028,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_028,person,Ahmed Anderson,1981-11-16,British,False,"704 Park Street, Bristol, United Kingdom",Bristol,United Kingdom,ENT_COMPANY_012;ENT_COMPANY_003,,,,,,,
REC_SYNTH_P_029,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_029,person,Susan King,1975-03-08,French,False,"86 Queen Street, Beijing, Russia",Beijing,Russia,ENT_COMPANY_038,,,,,,,
REC_SYNTH_P_03,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_03,person,Robert Jones,1994-01-25,British,False,"603 Main Street, Edinburgh, United Kingdom",Edinburgh,United Kingdom,ENT_COMPANY_046,,,,,,,
REC_SYNTH_P_031,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_031,person,Ali Ramirez,1959-01-11,British,False,"915 Queen Street, London, United Kingdom",London,United Kingdom,ENT_COMPANY_013,,,,,,,
REC_SYNTH_P_032,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_032,person,Thomas Young,1962-09-06,British,False,"452 Park Street, Cambridge, United Kingdom",Cambridge,United Kingdom,,,,,,,,
REC_SYNTH_P_033,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_033,person,Sophie Miller,1951-03-31,British,False,"354 High Street, Cambridge, United Kingdom",Cambridge,United Kingdom,ENT_COMPANY_040;ENT_COMPANY_025,,,,,,,
REC_SYNTH_P_034,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_034,person,Yuki Green,1957-01-17,British,False,"475 High Street, Edinburgh, United Kingdom",Edinburgh,United Kingdom,ENT_COMPANY_028;ENT_COMPANY_018,,,,,,,
REC_SYNTH_P_035,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_035,person,Linda Lewis,1988-05-07,American,False,"484 Queen Street, Berlin, India",Berlin,India,ENT_COMPANY_030;ENT_COMPANY_009,,,,,,,
REC_SYNTH_P_036,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_036,person,Lars Baker,1979-02-03,Indian,True,"959 High Street, Paris, India",Paris,India,ENT_COMPANY_057,central_bank,,,,,,
REC_SYNTH_P_037,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_037,person,Karen Adams,1991-10-08,German,False,"9 High Street, Mumbai, Russia",Mumbai,Russia,ENT_COMPANY_018;ENT_COMPANY_051,,,,,,,
REC_SYNTH_P_038,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_038,person,Mary Green,1975-10-09,Russian,False,"608 Main Street, New York, Russia",New York,Russia,ENT_COMPANY_002,,,,,,,
